	t1_activ	t1_inwards_activ	t1_outwards_activ	division_activ	t2_activ	join_edges_activ	control_cells_2side	check_if_edges_cross_op	number_of_accepted_movements	write_Every_N	Integration_mode	min_range_vertex_movemen	max_range_vertex_movement (0.01)	h	temperature_positive_energy	temperature_negative_energ	temperature_means_proportion_of_acceptance	ENERGY_TERM1 (Area	ENERGY_TERM2 (Tension	ENERGY_TERM3 (Perimeter	t1_transition_critical_distanc	length_rotated_edg	t2_transition_critical_are	max_edge_lengt	AUTONOMOUS_CELL_CYCL	start_cell_cycle_at_rando	CELL_CYCLE_CONTROLS_SIZ	keep_blade_area_after_division	TIME_CONTROLS_SIZE	time_decrease_exponent	xcoord_controls_siz	xcoord_decrease_exponen	line_tensio	line_tension_borde	perimeter_contrac	preferred_area_initia	preferred_area_fina	division_angle_random_nois	division_angle_longest_axi	division_angle_externa	division_angle_external_degree	spring_type_tensio	max_cell_are	cell_cycle_limi	vary_line_tension	vary_edge_tension_with_time	vary_edge_tension_time_exponen	edge_angle_prop_external	edge_angle_prop_uniform	edge_angle_prop_maxangle	edge_angle_prop_rando	edge_tension_external	edge_maxangl	edge_spatialmax_tensio	edge_spatialmin_tensio	edge_temporal_angle_efect_max	edge_temporal_angle_efect_min	spring_type_xlength_proportio	add_static_to_hinge	name
0	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-5.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_0
1	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-5.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.8, '1': 0.8, '2': 0.8, '3': 0.8}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_1
2	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-2.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_2
3	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-2.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.8, '1': 0.8, '2': 0.8, '3': 0.8}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_3
4	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 2.0, '2': 1.0, '3': 2.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-5.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_4
5	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 2.0, '2': 1.0, '3': 2.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-5.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.8, '1': 0.8, '2': 0.8, '3': 0.8}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_5
6	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 2.0, '2': 1.0, '3': 2.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-2.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_6
7	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 1.0, '1': 2.0, '2': 1.0, '3': 2.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-2.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.8, '1': 0.8, '2': 0.8, '3': 0.8}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_7
8	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 2.0, '1': 2.0, '2': 2.0, '3': 2.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-5.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_8
9	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 2.0, '1': 2.0, '2': 2.0, '3': 2.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-5.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.8, '1': 0.8, '2': 0.8, '3': 0.8}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_9
10	1	1	1	1	1	1	1	0	200000000	2000000	0	0.0	0.04	0.01	0.05	2.0	1	1	1	1	0.2	1.2	0.2	10	1	1	-1	1	1	0.5	-1	5	{'0': -0.02, '1': -0.02, '2': -0.02, '3': -0.02}	{'0': 2.0, '1': 2.0, '2': 2.0, '3': 2.0}	{'0': 0.03, '1': 0.03, '2': 0.03, '3': 0.03}	{'0': 23.0, '1': 23.0, '2': 23.0, '3': 23.0}	{'0': 30.0, '1': 30.0, '2': 30.0, '3': 30.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.75, '1': 1.5, '2': 2.0, '3': 2.5}	{'0': 1000.0, '1': 1000.0, '2': 1000.0, '3': 1000.0}	{'0': 100000, '1': 100000, '2': 100000, '3': 100000}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	-1	-2.0	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0}	{'0': 90.0, '1': 90.0, '2': 90.0, '3': 90.0}	{'0': 0.1, '1': 0.1, '2': 0.1, '3': 0.1}	{'0': -0.2, '1': -0.2, '2': -0.2, '3': -0.2}	{'0': 0.7, '1': 0.7, '2': 0.7, '3': 0.7}	{'0': 1.0, '1': 1.0, '2': 1.0, '3': 1.0}	{'0': 0.6, '1': 0.7, '2': 0.8, '3': 0.9}	0.6	aprilbud4_10
